"","scientific_name","longitude","latitude","species_observed"
"229","Aerodramus fuciphagus",126.6799703,-14.1036485,TRUE
"230","Aerodramus fuciphagus",133.956371,-14.094922,TRUE
"231","Aerodramus fuciphagus",136.45842,-14.076196,TRUE
"232","Aerodramus fuciphagus",126.455277,-14.075855,TRUE
"233","Aerodramus fuciphagus",126.344677,-14.074631,TRUE
"234","Aerodramus fuciphagus",131.97875,-14.06931,TRUE
"235","Aerodramus fuciphagus",133.07077,-14.06898,TRUE
"236","Aerodramus fuciphagus",133.934335,-14.051647,TRUE
"237","Aerodramus fuciphagus",127.31965,-14.041819,TRUE
"238","Aerodramus fuciphagus",131.943716,-14.034083,TRUE
"239","Aerodramus fuciphagus",143.190928,-14.004638,TRUE
"240","Aerodramus fuciphagus",132.221459,-13.981297,TRUE
"241","Aerodramus fuciphagus",131.91893,-13.981066,TRUE
"242","Aerodramus fuciphagus",136.503434,-13.972357,TRUE
"243","Aerodramus fuciphagus",126.300466,-13.971025,TRUE
"244","Aerodramus fuciphagus",136.41448,-13.96871,TRUE
"245","Aerodramus fuciphagus",133.244134,-13.967253,TRUE
"246","Aerodramus fuciphagus",131.69045,-13.96597,TRUE
"247","Aerodramus fuciphagus",126.347653,-13.965865,TRUE
"248","Aerodramus fuciphagus",133.964607,-13.951559,TRUE
"249","Aerodramus fuciphagus",143.198063,-13.94973,TRUE
"250","Aerodramus fuciphagus",131.7474839,-13.9356601,TRUE
"251","Aerodramus fuciphagus",127.325258,-13.920107,TRUE
"252","Aerodramus fuciphagus",131.865035,-13.915126,TRUE
"253","Aerodramus fuciphagus",136.436728,-13.907808,TRUE
"254","Aerodramus fuciphagus",131.7935371,-13.8876616,TRUE
"255","Aerodramus fuciphagus",136.545167,-13.885921,TRUE
"256","Aerodramus fuciphagus",131.8417872,-13.8690894,TRUE
"257","Aerodramus fuciphagus",136.8125939,-13.854591,TRUE
"258","Aerodramus fuciphagus",134.141238,-13.851529,TRUE
"259","Aerodramus fuciphagus",136.4086345,-13.8390813,TRUE
"260","Aerodramus fuciphagus",143.159366,-13.834299,TRUE
"261","Aerodramus fuciphagus",131.8451142,-13.8126997,TRUE
"262","Aerodramus fuciphagus",131.3514791,-13.7887761,TRUE
"263","Aerodramus fuciphagus",136.1960788,-13.7834194,TRUE
"264","Aerodramus fuciphagus",131.790848,-13.782959,TRUE
"265","Aerodramus fuciphagus",131.878052,-13.7791,TRUE
